Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Ottawa Senators,20082009,82,36,35,--,11,83,0.506,29,32,4,213,231,2.6,2.82,19.5,81.5,18,83.8,29.3,28.5,51.8
Dallas Stars,20082009,82,36,35,--,11,83,0.506,25,30,6,224,251,2.73,3.06,15.4,78.6,14.3,79.2,28.9,28.1,47.8
Toronto Maple Leafs,20082009,82,34,35,--,13,81,0.494,24,28,6,244,286,2.98,3.49,18.8,74.7,16.7,76.6,31.7,30.3,50.1
Los Angeles Kings,20082009,82,34,37,--,11,79,0.482,26,29,5,202,226,2.46,2.76,19.2,82.9,16.9,84,29.1,28.1,52
Phoenix Coyotes,20082009,82,36,39,--,7,79,0.482,32,33,3,205,249,2.5,3.04,14.5,76.8,13.4,78.5,28.1,31.6,44.8
Atlanta Thrashers,20082009,82,35,41,--,6,76,0.463,24,28,7,250,279,3.05,3.4,19.3,76,16.5,79.5,28.1,32.7,51.2
Colorado Avalanche,20082009,82,32,45,--,5,69,0.421,20,23,9,190,253,2.32,3.09,15.7,79.9,13.2,81.1,28.8,29,47.8
Tampa Bay Lightning,20082009,82,24,40,--,18,66,0.402,19,21,3,207,269,2.52,3.28,17.8,78,15.2,79,28.5,32.9,50.2
New York Islanders,20082009,82,26,47,--,9,61,0.372,20,23,3,198,274,2.41,3.34,16.9,79.8,15.3,83.1,28.9,33.5,45.7
Washington Capitals,20092010,82,54,15,--,13,121,0.738,43,49,5,313,227,3.82,2.77,25.2,78.8,22.7,80.1,32.8,30.9,51.5
San Jose Sharks,20092010,82,51,20,--,11,113,0.689,43,44,7,257,209,3.13,2.55,21,85,18.1,87.5,31.7,31.4,55.6
Chicago Blackhawks,20092010,82,52,22,--,8,112,0.683,37,43,9,262,203,3.2,2.48,17.7,85.3,16.3,90.2,34.1,25.1,52.4
Phoenix Coyotes,20092010,82,50,25,--,7,107,0.652,31,36,14,211,196,2.57,2.39,14.7,84.5,12.4,85.5,30.5,29.6,50
New Jersey Devils,20092010,82,48,27,--,7,103,0.628,40,42,6,216,186,2.63,2.27,18.7,82.9,16.9,85.8,30,27,49.4
Vancouver Canucks,20092010,82,49,28,--,5,103,0.628,41,45,4,268,218,3.27,2.66,20.9,81.6,19.1,84.4,30.9,29.5,51.4
Detroit Red Wings,20092010,82,44,24,--,14,102,0.622,33,38,6,223,207,2.72,2.52,19.2,83.9,18.9,86.9,33.4,29.4,51.1
Pittsburgh Penguins,20092010,82,47,28,--,7,101,0.616,33,39,8,249,235,3.04,2.87,17.2,84.1,14.7,86.2,32.8,28.7,49.3
Los Angeles Kings,20092010,82,46,27,--,9,101,0.616,32,36,10,231,211,2.82,2.57,20.9,80.3,18.9,81.6,29.1,27.6,50.6
Buffalo Sabres,20092010,82,45,27,--,10,100,0.61,35,41,4,231,201,2.82,2.45,17.6,86.6,16.6,88,31.6,31.4,48.6
Nashville Predators,20092010,82,47,29,--,6,100,0.61,33,39,8,217,221,2.65,2.7,16.4,77.1,14.3,79.1,30.6,29.2,49.2
Colorado Avalanche,20092010,82,43,30,--,9,95,0.579,34,36,7,237,228,2.89,2.78,18.1,80.2,15.2,82.8,27.9,32.1,47.7
Ottawa Senators,20092010,82,44,32,--,6,94,0.573,34,39,5,220,233,2.68,2.84,16.9,84.3,15.5,86.2,29.7,28.5,49.3
Boston Bruins,20092010,82,39,30,--,13,91,0.555,25,29,10,196,191,2.39,2.33,16.6,86.4,15.1,88.6,31.7,29.8,52.6
St. Louis Blues,20092010,82,40,32,--,10,90,0.549,30,33,7,218,218,2.66,2.66,16.9,86.8,15,88.9,29.8,30.2,48.8
Calgary Flames,20092010,82,40,32,--,10,90,0.549,35,37,3,201,203,2.45,2.48,16,82.3,15.3,84.9,28.7,28.9,48
Anaheim Ducks,20092010,82,39,32,--,11,89,0.543,31,34,5,233,243,2.84,2.96,21,79.3,18,81.8,30.1,33.4,48.1
Philadelphia Flyers,20092010,82,41,35,--,6,88,0.537,35,37,4,232,222,2.83,2.71,21.5,83,18.9,84.8,31.6,28.6,50.1
Montréal Canadiens,20092010,82,39,33,--,10,88,0.537,24,32,7,210,218,2.56,2.66,21.8,83,18.8,84.2,28.6,32.1,49.7
Dallas Stars,20092010,82,37,31,--,14,88,0.537,28,30,7,230,244,2.8,2.98,18.6,77.4,16.2,80.6,30.8,31.2,48.1
New York Rangers,20092010,82,38,33,--,11,87,0.53,34,35,3,219,214,2.67,2.61,18.3,84.3,16,85.9,29.6,29.9,49.2
Minnesota Wild,20092010,82,38,36,--,8,84,0.512,28,33,5,214,239,2.61,2.91,19.1,82.7,14.9,84,27.6,29.5,52.2
Atlanta Thrashers,20092010,82,35,34,--,13,83,0.506,29,31,4,230,250,2.8,3.05,16.1,82.2,14.9,85,29.4,33.1,50.9
Carolina Hurricanes,20092010,82,35,37,--,10,80,0.488,26,31,4,226,251,2.76,3.06,16.9,80.6,14.5,82.8,29.3,31.4,48.1
Tampa Bay Lightning,20092010,82,34,36,--,12,80,0.488,25,30,4,213,253,2.6,3.09,19.3,80.1,17.5,80.7,28.9,31.4,51.5
New York Islanders,20092010,82,34,37,--,11,79,0.482,20,26,8,214,258,2.61,3.15,16,76.3,15,78.7,30.4,31.9,48.2
Columbus Blue Jackets,20092010,82,32,35,--,15,79,0.482,27,30,2,214,249,2.61,3.04,18.2,81.7,15.3,83.5,28.5,30.7,51
Florida Panthers,20092010,82,32,37,--,13,77,0.47,24,26,6,202,234,2.46,2.85,14.2,79.4,11.7,81.9,28.4,34.1,49.9
Toronto Maple Leafs,20092010,82,30,38,--,14,74,0.451,21,26,4,210,263,2.56,3.21,14,74.7,11.8,76,32.6,29.8,50.8
Edmonton Oilers,20092010,82,27,47,--,8,62,0.378,18,19,8,206,278,2.51,3.39,17.3,78,15.6,80,28.3,33.1,46.4
Vancouver Canucks,20102011,82,54,19,--,9,117,0.713,46,50,4,258,180,3.15,2.2,24.3,85.6,23.7,87.5,32,30.1,54.9
Washington Capitals,20102011,82,48,23,--,11,107,0.652,34,43,5,219,191,2.67,2.33,17.5,85.6,15.6,88,31.3,29,51.7
Philadelphia Flyers,20102011,82,47,23,--,12,106,0.646,41,44,3,256,216,3.12,2.63,16.6,82.8,14.9,86.9,31.8,30.1,50.3
Pittsburgh Penguins,20102011,82,49,25,--,8,106,0.646,34,39,10,228,196,2.78,2.39,15.8,86.1,13.8,90.1,31.5,28.7,49.2
San Jose Sharks,20102011,82,48,25,--,9,105,0.64,38,43,5,243,208,2.96,2.54,23.5,79.6,21.1,81.8,34.5,28.9,53.7
Detroit Red Wings,20102011,82,47,25,--,10,104,0.634,34,43,4,257,237,3.13,2.89,22.3,82.3,19.9,84,33.6,30.7,51.9
Boston Bruins,20102011,82,46,25,--,11,103,0.628,43,44,2,244,189,2.98,2.3,16.2,82.6,14.3,86.8,32.9,32.7,51.9
Tampa Bay Lightning,20102011,82,46,25,--,11,103,0.628,32,40,6,241,234,2.94,2.85,20.5,83.8,15.8,84.1,31.8,28.7,50.4
Nashville Predators,20102011,82,44,27,--,11,99,0.604,36,38,6,213,190,2.6,2.32,15.2,84.9,14.5,86.8,28.8,30.6,50.2
Anaheim Ducks,20102011,82,47,30,--,5,99,0.604,34,43,4,235,233,2.87,2.84,23.5,81.3,21.1,83.6,28.5,32.3,47.7
Phoenix Coyotes,20102011,82,43,26,--,13,99,0.604,36,38,5,226,220,2.76,2.68,15.9,78.4,13.8,80.1,30.3,32.6,51.5
Los Angeles Kings,20102011,82,46,30,--,6,98,0.598,35,36,10,209,196,2.55,2.39,16.1,85.5,14,87,28.8,27.9,51.1
Chicago Blackhawks,20102011,82,44,29,--,9,97,0.591,34,38,6,252,220,3.07,2.68,23.1,79.2,21.7,81.6,32.2,28.7,50.8
Buffalo Sabres,20102011,82,43,29,--,10,96,0.585,28,38,5,240,228,2.93,2.78,19.4,83,14.7,83.7,32.8,30.7,47.7
Montréal Canadiens,20102011,82,44,30,--,8,96,0.585,36,41,3,213,206,2.6,2.51,19.7,84.4,17.6,85.9,31.7,31,49
Dallas Stars,20102011,82,42,29,--,11,95,0.579,32,37,5,222,226,2.71,2.76,18,80.1,13.1,83.8,27.7,30.5,50
Calgary Flames,20102011,82,41,29,--,12,94,0.573,30,32,9,241,230,2.94,2.8,19.5,81.2,16.7,83.7,30.5,28.5,48.2
New York Rangers,20102011,82,44,33,--,5,93,0.567,32,35,9,224,195,2.73,2.38,16.9,83.7,15.2,87.9,29.9,29.4,47.7
Carolina Hurricanes,20102011,82,40,31,--,11,91,0.555,29,35,5,231,234,2.82,2.85,15.9,81.3,14.2,83.8,30.7,33.2,44.6
St. Louis Blues,20102011,82,38,33,--,11,87,0.53,31,34,4,236,228,2.88,2.78,18.6,81.7,18.3,84.2,30.2,27.7,47.3
Minnesota Wild,20102011,82,39,35,--,8,86,0.524,31,36,3,203,228,2.48,2.78,18.2,82.8,15.8,85.1,26.2,32,50.8
Toronto Maple Leafs,20102011,82,37,34,--,11,85,0.518,30,32,5,213,245,2.6,2.99,16,77.5,13.5,79.3,28.8,31,50.5
New Jersey Devils,20102011,82,38,39,--,5,81,0.494,28,35,3,171,207,2.09,2.52,14.4,83.4,11,84.7,28.6,26.2,51.2
Columbus Blue Jackets,20102011,82,34,35,--,13,81,0.494,24,29,5,210,250,2.56,3.05,14,80.3,10.3,82.2,30.6,29.8,51.2
Atlanta Thrashers,20102011,82,34,36,--,12,80,0.488,19,29,5,218,262,2.66,3.2,18.3,77.5,14.9,79.7,31.5,32.2,48.7
Ottawa Senators,20102011,82,32,40,--,10,74,0.451,28,30,2,190,245,2.32,2.99,17.5,83.7,16,85.7,29,31.2,50.8
New York Islanders,20102011,82,30,39,--,13,73,0.445,19,26,4,225,258,2.74,3.15,17.2,83.2,14.9,88.1,29.4,32,50.1
Florida Panthers,20102011,82,30,40,--,12,72,0.439,20,26,4,191,222,2.33,2.71,13.1,84.6,11.2,86.1,30.4,31.8,51.9
Colorado Avalanche,20102011,82,30,44,--,8,68,0.415,18,24,6,221,287,2.7,3.5,18.5,76.1,14.3,78.7,29.2,31.8,50.6
Edmonton Oilers,20102011,82,25,45,--,12,62,0.378,21,23,2,191,260,2.33,3.17,14.5,77,13.8,79.4,26.7,31.7,44.2
Vancouver Canucks,20112012,82,51,22,--,9,111,0.677,36,43,8,241,191,2.94,2.33,19.8,86,18.4,88.5,31.5,30.8,52.2
New York Rangers,20112012,82,51,24,--,7,109,0.665,39,47,4,222,182,2.71,2.22,15.7,86.2,14.3,89.2,28.5,27.8,50
St. Louis Blues,20112012,82,49,22,--,11,109,0.665,42,45,4,206,155,2.51,1.89,16.7,85.8,15.6,88.3,30.6,26.7,50.4
Pittsburgh Penguins,20112012,82,51,25,--,6,108,0.659,40,42,9,273,218,3.33,2.66,19.7,87.8,16.3,91.9,33.9,27.4,50.4
Nashville Predators,20112012,82,48,26,--,8,104,0.634,40,43,5,232,205,2.83,2.5,21.6,83.6,20,85.7,27.6,30.8,49
Philadelphia Flyers,20112012,82,47,26,--,9,103,0.628,37,43,4,260,225,3.17,2.74,19.7,81.8,17,83.7,32.2,28.4,48.3
New Jersey Devils,20112012,82,48,28,--,6,102,0.622,32,36,12,216,205,2.63,2.5,17.2,89.6,12.4,95.4,27.5,26.8,47.1
Boston Bruins,20112012,82,49,29,--,4,102,0.622,38,40,9,260,199,3.17,2.43,17.2,83.5,16.8,86.5,32.4,29.8,54.5
Detroit Red Wings,20112012,82,48,28,--,6,102,0.622,36,39,9,239,200,2.91,2.44,16.1,81.8,12.4,82.5,32.2,27,51.6
Chicago Blackhawks,20112012,82,45,26,--,11,101,0.616,34,38,7,241,231,2.94,2.82,15.2,78.1,14.1,81.1,31.5,28.6,50.6
Phoenix Coyotes,20112012,82,42,27,--,13,97,0.591,33,36,6,210,194,2.56,2.37,13.6,85.5,11.2,88,29.6,31.6,50.2
San Jose Sharks,20112012,82,43,29,--,10,96,0.585,31,34,9,219,205,2.67,2.5,21.1,76.9,19.6,78.2,33.8,28.6,53.3
Los Angeles Kings,20112012,82,40,27,--,15,95,0.579,31,34,6,188,170,2.29,2.07,17,87,16.3,90.1,30.6,27.4,51.5
Florida Panthers,20112012,82,38,26,--,18,94,0.573,31,32,6,197,216,2.4,2.63,18.5,79.5,16.4,81.2,29.7,30.5,50.6
Ottawa Senators,20112012,82,41,31,--,10,92,0.561,30,35,6,243,236,2.96,2.88,18.2,81.6,15.6,84.5,31.4,32,50.1
Washington Capitals,20112012,82,42,32,--,8,92,0.561,31,38,4,218,226,2.66,2.76,16.7,81.6,12.7,82.7,28,30.2,50
Calgary Flames,20112012,82,37,29,--,16,90,0.549,32,34,3,199,217,2.43,2.65,17.7,84.3,15.4,85.5,27.5,30.8,46.2
Buffalo Sabres,20112012,82,39,32,--,11,89,0.543,27,32,7,211,223,2.57,2.72,17.1,81.7,14.3,83.7,29.2,31.4,49.5
Dallas Stars,20112012,82,42,35,--,5,89,0.543,31,35,7,204,218,2.49,2.66,13.5,82.8,12.3,84.5,28.2,30.8,49.1
Colorado Avalanche,20112012,82,41,35,--,6,88,0.537,25,32,9,199,218,2.43,2.66,18.4,83,16.6,84.8,31.5,29.6,51.6
Tampa Bay Lightning,20112012,82,38,36,--,8,84,0.512,25,35,3,232,278,2.83,3.39,15.2,79.2,10.8,79.9,27.2,30.5,48.6
Winnipeg Jets,20112012,82,37,35,--,10,84,0.512,27,33,4,221,242,2.7,2.95,17.9,80.1,14.7,81.2,30.1,30.1,49
Carolina Hurricanes,20112012,82,33,33,--,16,82,0.5,29,32,1,212,237,2.59,2.89,16.7,80.6,15.3,85.3,30.5,32.4,50.7
Minnesota Wild,20112012,82,35,36,--,11,81,0.494,22,24,11,166,217,2.02,2.65,15.1,82.1,13.6,83.9,26.5,31.4,51.2
Toronto Maple Leafs,20112012,82,35,37,--,10,80,0.488,26,31,4,227,259,2.77,3.16,18.4,77.3,16.1,79.3,28.3,30.8,51.7
Anaheim Ducks,20112012,82,34,36,--,12,80,0.488,29,31,3,201,224,2.45,2.73,16.6,82,14.8,83.4,27.9,28.9,47.4
New York Islanders,20112012,82,34,37,--,11,79,0.482,24,27,7,196,251,2.39,3.06,18.5,80.5,16.5,82.2,29.4,30.1,48
Montréal Canadiens,20112012,82,31,35,--,16,78,0.476,24,26,5,207,214,2.52,2.61,14.3,88.6,11.6,91.8,28.5,29.7,48.3
Edmonton Oilers,20112012,82,32,40,--,10,74,0.451,25,27,5,207,232,2.52,2.83,20.6,82.4,17.6,84.1,26.7,30.7,47.7
Columbus Blue Jackets,20112012,82,29,46,--,7,65,0.396,23,25,4,198,257,2.41,3.13,15.5,76.6,12.9,79.2,29.9,30.9,50.9
Chicago Blackhawks,20122013,48,36,7,--,5,77,0.802,25,30,6,149,97,3.1,2.02,16.7,87.2,13.3,90.8,31.1,26.2,50.8
Pittsburgh Penguins,20122013,48,36,12,--,0,72,0.75,31,33,3,162,119,3.38,2.48,24.7,79.6,22.9,80.8,30,29.2,51.5
Anaheim Ducks,20122013,48,30,12,--,6,66,0.688,23,24,6,134,115,2.79,2.4,21.5,81.5,17.8,84.6,28.1,27.9,47.5
Montréal Canadiens,20122013,48,29,14,--,5,63,0.656,24,26,3,146,124,3.04,2.58,20.7,79.8,19.7,79.8,30.6,26.9,49.8
Boston Bruins,20122013,48,28,14,--,6,62,0.646,23,24,4,127,106,2.65,2.21,14.8,87.1,13.1,90.2,32.4,28.6,56.4
St. Louis Blues,20122013,48,29,17,--,2,60,0.625,20,24,5,124,114,2.58,2.38,19.5,84.7,16.1,86.7,27.8,24.2,50.7
Vancouver Canucks,20122013,48,26,15,--,7,59,0.615,20,21,5,122,115,2.54,2.4,15.8,84,13.9,85.2,28.1,28.9,47.6
Los Angeles Kings,20122013,48,27,16,--,5,59,0.615,24,25,2,131,114,2.73,2.38,19.9,83.2,19.3,84.5,29.8,25,52
Toronto Maple Leafs,20122013,48,26,17,--,5,57,0.594,24,26,0,145,128,3.02,2.67,18.7,87.9,16.3,88.5,26.3,32.3,50.1
Washington Capitals,20122013,48,27,18,--,3,57,0.594,20,24,3,146,130,3.04,2.71,26.8,77.9,24.4,79.8,28.1,32.3,50.8
San Jose Sharks,20122013,48,25,16,--,7,57,0.594,17,17,8,116,112,2.42,2.33,20.1,85,17.8,87.1,31.8,29,53.4
New York Rangers,20122013,48,26,18,--,4,56,0.583,18,22,4,126,108,2.63,2.25,15.7,81.1,13.1,84.5,30.9,28.2,50
Ottawa Senators,20122013,48,25,17,--,6,56,0.583,19,21,4,112,100,2.33,2.08,15.9,88,15.3,89.2,33.1,31.3,49.2
Detroit Red Wings,20122013,48,24,16,--,8,56,0.583,20,22,2,122,110,2.54,2.29,18.4,81.7,15.7,83.5,30.1,27.5,50.8
New York Islanders,20122013,48,24,17,--,7,55,0.573,18,20,4,135,136,2.81,2.83,19.9,80.3,19.9,81.7,30.9,28.2,49.7
Columbus Blue Jackets,20122013,48,24,17,--,7,55,0.573,14,19,5,115,115,2.4,2.4,14.2,82.6,12.9,84.7,26.7,29.9,52
Minnesota Wild,20122013,48,26,19,--,3,55,0.573,19,22,4,118,125,2.46,2.6,17.9,80.7,17.9,81.5,28.8,27.1,52.5
Phoenix Coyotes,20122013,48,21,18,--,9,51,0.531,16,17,4,121,125,2.52,2.6,14.8,79.9,13.6,81.1,30.9,30.6,52
Winnipeg Jets,20122013,48,24,21,--,3,51,0.531,18,22,2,126,141,2.63,2.94,13.8,79.7,11.7,80.4,28.9,29.7,48.9
Philadelphia Flyers,20122013,48,23,22,--,3,49,0.51,20,22,1,132,139,2.75,2.9,21.6,85.9,19.9,87,29,28.6,48.5
New Jersey Devils,20122013,48,19,19,--,10,48,0.5,16,17,2,110,122,2.29,2.54,15.3,81.1,11.9,87.6,28.4,23.1,48.2
Buffalo Sabres,20122013,48,21,21,--,6,48,0.5,13,14,7,118,139,2.46,2.9,14.1,79.2,9.8,83.2,27.9,33.5,46.2
Dallas Stars,20122013,48,22,22,--,4,48,0.5,18,20,2,128,141,2.67,2.94,17,81,15.2,82.1,26.3,31,47.2
Edmonton Oilers,20122013,48,19,22,--,7,45,0.469,15,17,2,123,131,2.56,2.73,20.1,83.4,19.5,85.7,26.8,32.8,46.1
Carolina Hurricanes,20122013,48,19,25,--,4,42,0.438,17,18,1,127,159,2.65,3.31,14.6,78.3,12.1,80.1,32.2,32.2,50.2
Calgary Flames,20122013,48,19,25,--,4,42,0.438,17,19,0,128,157,2.67,3.27,20,81.5,18.7,85.4,26.9,29.4,46.6
Nashville Predators,20122013,48,16,23,--,9,41,0.427,11,14,2,109,133,2.27,2.77,17.1,75.5,14.3,76.3,25.9,27.8,49.7
Tampa Bay Lightning,20122013,48,18,26,--,4,40,0.417,16,17,1,147,147,3.06,3.06,19,80.7,16.6,80.7,27.6,30.2,51.2
Colorado Avalanche,20122013,48,16,25,--,7,39,0.406,11,14,2,114,150,2.38,3.13,15,80.3,12.9,82,29.5,31.4,51.1
Florida Panthers,20122013,48,15,27,--,6,36,0.375,11,12,3,109,170,2.27,3.54,20.4,74.2,19.7,76.8,29.2,31.3,49.4
Boston Bruins,20132014,82,54,19,--,9,117,0.713,47,51,3,258,171,3.15,2.09,21.7,83.7,19.1,87.1,31.9,29.1,51.6
Anaheim Ducks,20132014,82,54,20,--,8,116,0.707,44,51,3,263,203,3.21,2.48,16,82.2,13.1,85.9,31.3,28.7,49.2
Colorado Avalanche,20132014,82,52,22,--,8,112,0.683,37,47,5,245,216,2.99,2.63,19.8,80.7,19.4,81.9,29.5,32.7,49.5
St. Louis Blues,20132014,82,52,23,--,7,111,0.677,40,43,9,239,188,2.91,2.29,19.8,85.7,17.7,87.7,29.3,26.4,51.9
San Jose Sharks,20132014,82,51,22,--,9,111,0.677,37,41,10,239,193,2.91,2.35,17.2,84.9,15.1,88.6,34.8,27.8,52.8
Pittsburgh Penguins,20132014,82,51,24,--,7,109,0.665,40,44,7,242,204,2.95,2.49,23.4,85,21.2,86.6,29.9,28.8,51
Chicago Blackhawks,20132014,82,46,21,--,15,107,0.652,39,40,6,261,212,3.18,2.59,19.5,81.5,17.1,85.1,33.1,27.2,52
Tampa Bay Lightning,20132014,82,46,27,--,9,101,0.616,32,38,8,232,209,2.83,2.55,18.5,80.7,15.6,84.4,29.8,29.2,49.2
Montréal Canadiens,20132014,82,46,28,--,8,100,0.61,33,40,6,209,201,2.55,2.45,17.2,85.1,14.3,87.2,28.4,31,49.6
Los Angeles Kings,20132014,82,46,28,--,8,100,0.61,34,38,8,198,168,2.41,2.05,15.1,83.1,13,84.8,31.6,26.2,52.8
Minnesota Wild,20132014,82,43,27,--,12,98,0.598,32,35,8,199,198,2.43,2.41,17.9,78.8,14.7,80.4,26.6,27.7,50.9
New York Rangers,20132014,82,45,31,--,6,96,0.585,39,41,4,214,190,2.61,2.32,18.2,85.3,15.5,89.7,33.2,29.4,48.8
Philadelphia Flyers,20132014,82,42,30,--,10,94,0.573,35,39,3,233,227,2.84,2.77,19.7,84.8,16,87.3,30.4,30.6,50
Detroit Red Wings,20132014,82,39,28,--,15,93,0.567,30,34,5,217,221,2.65,2.7,17.7,83.1,16,84.1,30,29.3,50.8
Columbus Blue Jackets,20132014,82,43,32,--,7,93,0.567,35,38,5,226,214,2.76,2.61,19.3,82.1,16.4,85.4,29.6,30.8,51.6
Dallas Stars,20132014,82,40,31,--,11,91,0.555,34,36,4,231,223,2.82,2.72,15.9,81.4,14.1,84.4,31.7,30.4,50.1
Washington Capitals,20132014,82,38,30,--,14,90,0.549,24,28,10,225,229,2.74,2.79,23.4,82,19.9,83.8,29.4,33.5,48.4
Phoenix Coyotes,20132014,82,37,30,--,15,89,0.543,28,31,6,210,224,2.56,2.73,19.9,79,18.1,80.2,30.5,31,52
New Jersey Devils,20132014,82,35,29,--,18,88,0.537,26,35,0,197,195,2.4,2.38,19.5,86.4,17.8,89.8,26.8,25.5,47
Ottawa Senators,20132014,82,37,31,--,14,88,0.537,27,30,7,229,258,2.79,3.15,18.5,80.9,14.8,82.5,32.8,34.7,51.2
Nashville Predators,20132014,82,38,32,--,12,88,0.537,33,36,2,214,233,2.61,2.84,19.3,80.3,19.3,81.1,29,28.9,53.1
Toronto Maple Leafs,20132014,82,38,36,--,8,84,0.512,24,29,9,222,252,2.71,3.07,19.8,78.4,15.1,81,27.9,35.9,48.3
Winnipeg Jets,20132014,82,37,35,--,10,84,0.512,24,29,8,219,231,2.67,2.82,15.4,83.2,13.1,84.9,30.7,30.1,46.9
Carolina Hurricanes,20132014,82,36,35,--,11,83,0.506,30,34,2,205,226,2.5,2.76,14.6,81.7,11.7,86.3,31.2,30.9,52.6
Vancouver Canucks,20132014,82,36,35,--,11,83,0.506,25,31,5,191,216,2.33,2.63,15.2,83.2,13.6,85.4,30.8,28.4,51.4
New York Islanders,20132014,82,34,37,--,11,79,0.482,21,25,9,216,261,2.63,3.18,17.8,78.1,15.2,81.1,30.9,30,47.2
Calgary Flames,20132014,82,35,40,--,7,77,0.47,21,28,7,202,238,2.46,2.9,15.7,81.7,12.9,86.8,26.8,28.6,46.2
Edmonton Oilers,20132014,82,29,44,--,9,67,0.409,20,25,4,199,267,2.43,3.26,17,82.1,12.2,83.6,26.9,32.9,49
Florida Panthers,20132014,82,29,45,--,8,66,0.402,21,21,8,188,262,2.29,3.2,10,76,7.8,79,29.9,31.1,48.3
Buffalo Sabres,20132014,82,21,51,--,10,52,0.317,11,14,7,150,243,1.83,2.96,14.1,81.4,12.1,83.2,26.3,34.3,46.8
New York Rangers,20142015,82,53,22,--,7,113,0.689,43,49,4,248,187,3.02,2.28,16.8,84.3,14.2,88.1,31.5,29.5,46.7
Montréal Canadiens,20142015,82,50,22,--,10,110,0.671,37,43,7,214,184,2.61,2.24,16.5,83.7,14.8,86.4,28.5,30.1,52.1
St. Louis Blues,20142015,82,51,24,--,7,109,0.665,37,42,9,239,197,2.91,2.4,22.3,83.7,20.3,84.4,30.9,27.2,53.4
Anaheim Ducks,20142015,82,51,24,--,7,109,0.665,35,43,8,228,221,2.78,2.7,15.7,81,13.2,84.3,30,28.9,51.7
Tampa Bay Lightning,20142015,82,50,24,--,8,108,0.659,43,47,3,259,206,3.16,2.51,18.8,83.7,16.7,86.4,29.6,27.9,49.7
Nashville Predators,20142015,82,47,25,--,10,104,0.634,33,41,6,226,202,2.76,2.46,16.2,80.8,14.3,82.5,31.9,28.3,48.9
Chicago Blackhawks,20142015,82,48,28,--,6,102,0.622,36,39,9,220,186,2.68,2.27,17.6,83.4,14.9,84.8,33.9,30.2,52.1
New York Islanders,20142015,82,47,28,--,7,101,0.616,34,40,7,245,224,2.99,2.73,18.7,78,17.6,82.6,33.8,28.3,49.2
Washington Capitals,20142015,82,45,26,--,11,101,0.616,35,40,5,237,199,2.89,2.43,25.3,81.2,23.6,82.7,29.5,28.9,51.3
Vancouver Canucks,20142015,82,48,29,--,5,101,0.616,36,42,6,236,220,2.88,2.68,19.3,85.7,18.5,88,29.9,29.8,46.7
Detroit Red Wings,20142015,82,43,25,--,14,100,0.61,32,39,4,231,211,2.82,2.57,23.8,80.9,21.1,81.9,29.6,28.3,51.5
Minnesota Wild,20142015,82,46,28,--,8,100,0.61,38,42,4,227,198,2.77,2.41,15.9,86.3,14.6,88,30.8,27.6,49.9
Ottawa Senators,20142015,82,43,26,--,13,99,0.604,30,37,6,232,208,2.83,2.54,16.8,82.9,13.9,85.2,31,32.1,48.2
Winnipeg Jets,20142015,82,43,26,--,13,99,0.604,32,36,7,223,204,2.72,2.49,17.8,81.8,16,85.1,29.7,28.7,48.9
Pittsburgh Penguins,20142015,82,43,27,--,12,98,0.598,33,39,4,217,204,2.65,2.49,19.3,84.8,15,87,31.6,29.3,49.1
Calgary Flames,20142015,82,45,30,--,7,97,0.591,32,41,4,237,213,2.89,2.6,18.8,80.7,17.7,83.9,27.5,29.2,47.5
Boston Bruins,20142015,82,41,27,--,14,96,0.585,28,37,4,209,201,2.55,2.45,17.8,82,16.4,85.3,31,29.9,53.6
Los Angeles Kings,20142015,82,40,27,--,15,95,0.579,37,38,2,218,197,2.66,2.4,19,80.9,18.2,83.9,30.9,27,51.3
Dallas Stars,20142015,82,41,31,--,10,92,0.561,33,37,4,257,257,3.13,3.13,19,80.7,16.6,84.3,31.2,29.9,51.8
Florida Panthers,20142015,82,38,29,--,15,91,0.555,29,30,8,198,213,2.41,2.6,16.3,80,13.8,80.4,30.7,29.6,48.6
Colorado Avalanche,20142015,82,39,31,--,12,90,0.549,27,29,10,209,223,2.55,2.72,15,84.7,14.2,86.3,27.9,33.2,50.8
San Jose Sharks,20142015,82,40,33,--,9,89,0.543,34,36,4,224,226,2.73,2.76,21.7,78.5,19.7,80.3,31.6,29.7,51.9
Columbus Blue Jackets,20142015,82,42,35,--,5,89,0.543,28,33,9,227,248,2.77,3.02,21.7,80.2,19.7,81.9,28.9,33.4,49.3
Philadelphia Flyers,20142015,82,33,31,--,18,84,0.512,25,30,3,212,223,2.59,2.72,23.4,77.1,21.1,78.2,29.4,30.3,51.1
New Jersey Devils,20142015,82,32,36,--,14,78,0.476,26,27,5,176,209,2.15,2.55,19.3,80.6,15.6,83.2,24.5,30.7,47.3
Carolina Hurricanes,20142015,82,30,41,--,11,71,0.433,24,25,5,183,219,2.23,2.67,18.8,84.7,17.1,85.8,30.8,27.3,53
Toronto Maple Leafs,20142015,82,30,44,--,8,68,0.415,22,25,5,206,257,2.51,3.13,15.9,80.5,11.7,83.1,29.2,33.5,49
Edmonton Oilers,20142015,82,24,44,--,14,62,0.378,17,19,5,193,276,2.35,3.37,17.7,76.7,14.7,78.5,28.4,30,48.2
